test loss,train loss
90539.83583407738,90539.83583407738
7490.300926239481,7490.300926239481
4663.683765656703,4663.683765656703
4163.478746157987,4163.478746157987
3979.801477620688,3979.801477620688
3893.3933113502803,3893.3933113502803
3845.0139976570313,3845.0139976570313
3814.4859298738675,3814.4859298738675
3793.7385741534144,3793.7385741534144
3779.0013326975545,3779.0013326975545
3768.251985439288,3768.251985439288
3760.281027671335,3760.281027671335
3754.3060879861832,3754.3060879861832
3749.7935360378615,3749.7935360378615
3746.3664307869562,3746.3664307869562
3743.7522609013736,3743.7522609013736
3741.7508947437386,3741.7508947437386
3740.2137393428247,3740.2137393428247
3739.0295965896466,3739.0295965896466
3738.1147650855755,3738.1147650855755
3737.4059582727546,3737.4059582727546
3736.855155374552,3736.855155374552
3736.4258130079966,3736.4258130079966
3736.0900531427687,3736.0900531427687
3735.8265617828247,3735.8265617828247
3735.6376309258176,3735.6376309258176
